 id_titular |   RUN    |     Nombres      |       Apellidos       |       institucion       
------------+----------+------------------+-----------------------+-------------------------
       1739 | 689864-5 | Marta            | Araya                 | Colmena de avispas S.A.
       2809 | 665079-1 | Paula            | Araya Araya           | Colmena de avispas S.A.
       1121 | 862633-2 | Luis             | Araya Hernández       | Colmena de avispas S.A.
       2744 | 326463-7 | Juan Paula       | Contreras             | Colmena de avispas S.A.
        275 | 297534-3 | Lucía            | Contreras Silva       | Colmena de avispas S.A.
       2397 | 988889-6 | Antonio          | Contreras Valenzuela  | Colmena de avispas S.A.
       2446 | 299731-2 | Carmen           | Díaz Díaz             | Colmena de avispas S.A.
       1191 | 665622-6 | Paula            | Espinoza              | Colmena de avispas S.A.
       1276 | 663033-2 | Juan             | Espinoza Rodríguez    | Colmena de avispas S.A.
        270 | 101228-2 | Isabel           | Flores                | Colmena de avispas S.A.
        651 | 625035-1 | Sofía            | Flores                | Colmena de avispas S.A.
       2254 | 335936-0 | Ana              | Fuentes Muñoz         | Colmena de avispas S.A.
        436 | 350786-6 | Sofía            | González              | Colmena de avispas S.A.
       2863 | 966786-5 | Laura            | González Sepúlveda    | Colmena de avispas S.A.
       1532 | 654272-7 | Laura            | Hernández             | Colmena de avispas S.A.
       1407 | 160875-4 | Lucía            | López                 | Colmena de avispas S.A.
       2770 | 936343-2 | Lucía            | López                 | Colmena de avispas S.A.
       1149 | 251892-9 | Andrés           | Martínez Contreras    | Colmena de avispas S.A.
       1500 | 417982-K | Isabel           | Martínez Torres       | Colmena de avispas S.A.
        352 | 143049-1 | Juan             | Morales               | Colmena de avispas S.A.
        775 | 168944-4 | Andrés Carmen    | Morales Morales       | Colmena de avispas S.A.
         82 | 139801-6 | Paula            | Muñoz Díaz            | Colmena de avispas S.A.
       1495 | 535491-9 | Pedro Laura      | Pérez Espinoza        | Colmena de avispas S.A.
       2163 | 443122-7 | Isabel           | Pérez Rodríguez       | Colmena de avispas S.A.
         88 | 252741-3 | María            | Rodríguez             | Colmena de avispas S.A.
        807 | 828657-4 | Paula            | Rojas                 | Colmena de avispas S.A.
        244 | 998873-4 | Luis             | Rojas Contreras       | Colmena de avispas S.A.
       1659 | 181094-4 | Juan             | Rojas Flores          | Colmena de avispas S.A.
        278 | 734330-2 | Pedro            | Rojas Soto            | Colmena de avispas S.A.
        469 | 858495-8 | María            | Rojas Torres          | Colmena de avispas S.A.
        501 | 659922-2 | Francisco Diego  | Sepúlveda             | Colmena de avispas S.A.
       1395 | 528668-9 | Paula Sofía      | Sepúlveda             | Colmena de avispas S.A.
        214 | 662432-4 | Carmen           | Sepúlveda Silva       | Colmena de avispas S.A.
       2535 | 977220-0 | Miguel Marta     | Torres                | Colmena de avispas S.A.
        210 | 245728-8 | Juan Javier      | Torres Díaz           | Colmena de avispas S.A.
        167 | 237637-7 | Andrés           | Valenzuela            | Colmena de avispas S.A.
       1304 | 530227-7 | Luis Pedro       | Valenzuela            | Colmena de avispas S.A.
       1629 | 530519-5 | Javier           | Araya                 | Cruz de Malta S.A.
        970 | 541053-3 | Ana              | Araya Hernández       | Cruz de Malta S.A.
       2991 | 866572-9 | Isabel           | Araya López           | Cruz de Malta S.A.
       1783 | 390990-5 | Andrés           | Araya Sepúlveda       | Cruz de Malta S.A.
       1217 | 104155-K | Lucía            | Contreras             | Cruz de Malta S.A.
       1173 | 938912-1 | Pedro            | Contreras Araya       | Cruz de Malta S.A.
       1533 | 561152-0 | Javier           | Díaz Espinoza         | Cruz de Malta S.A.
       2560 | 628964-9 | Paula Lucía      | Díaz Soto             | Cruz de Malta S.A.
        438 | 393748-8 | Carmen           | Flores                | Cruz de Malta S.A.
        783 | 961628-4 | José             | Flores Espinoza       | Cruz de Malta S.A.
       1378 | 421289-4 | Luis             | Flores Rojas          | Cruz de Malta S.A.
        526 | 248362-9 | Pedro            | González              | Cruz de Malta S.A.
       1494 | 811545-1 | Pedro Sofía      | González              | Cruz de Malta S.A.
        674 | 178240-1 | Carmen Andrés    | González Valenzuela   | Cruz de Malta S.A.
       2269 | 351239-8 | Andrés           | Hernández Araya       | Cruz de Malta S.A.
       1216 | 701552-6 | Ana              | Hernández López       | Cruz de Malta S.A.
       1300 | 863987-6 | Carmen Laura     | López                 | Cruz de Malta S.A.
       2440 | 698050-3 | María Juan       | Martínez              | Cruz de Malta S.A.
       2002 | 442390-9 | Lucía Miguel     | Morales               | Cruz de Malta S.A.
       2568 | 587352-5 | Daniel           | Morales Torres        | Cruz de Malta S.A.
        213 | 983986-0 | Javier           | Rodríguez             | Cruz de Malta S.A.
       1626 | 603533-7 | Diego Juan       | Rodríguez Fuentes     | Cruz de Malta S.A.
       2262 | 513118-9 | Isabel           | Rodríguez Pérez       | Cruz de Malta S.A.
        139 | 539084-2 | Andrés           | Rodríguez Rodríguez   | Cruz de Malta S.A.
        916 | 917771-K | Sofía Laura      | Silva González        | Cruz de Malta S.A.
       1284 | 285376-0 | Lucía            | Torres Sepúlveda      | Cruz de Malta S.A.
        861 | 913232-5 | Miguel           | Valenzuela            | Cruz de Malta S.A.
        299 | 380695-2 | Antonio          | Araya                 | Cruz pal cielo Ltda.
       2021 | 511485-3 | Isabel           | Araya                 | Cruz pal cielo Ltda.
       1986 | 593969-0 | Sofía            | Espinoza              | Cruz pal cielo Ltda.
       1814 | 176886-7 | Marta Sofía      | Espinoza Contreras    | Cruz pal cielo Ltda.
       1357 | 879073-6 | Javier María     | Espinoza Valenzuela   | Cruz pal cielo Ltda.
       1470 | 946250-3 | Pedro            | Espinoza Valenzuela   | Cruz pal cielo Ltda.
       1997 | 542793-2 | Ana José         | Flores                | Cruz pal cielo Ltda.
       1509 | 281988-0 | Andrés           | Flores                | Cruz pal cielo Ltda.
       2116 | 541161-0 | Marta Luis       | Fuentes Pérez         | Cruz pal cielo Ltda.
        296 | 753108-7 | Javier Diego     | Fuentes Sepúlveda     | Cruz pal cielo Ltda.
        207 | 216440-K | Juan             | Fuentes Valenzuela    | Cruz pal cielo Ltda.
         25 | 797134-6 | Diego            | González Rojas        | Cruz pal cielo Ltda.
        771 | 523775-0 | Carmen Daniel    | Hernández Valenzuela  | Cruz pal cielo Ltda.
       2542 | 837678-6 | Javier           | López Araya           | Cruz pal cielo Ltda.
        108 | 370616-8 | Antonio Pedro    | Martínez              | Cruz pal cielo Ltda.
        733 | 694977-0 | Luis Miguel      | Martínez Morales      | Cruz pal cielo Ltda.
       2759 | 641635-7 | Miguel Marta     | Muñoz                 | Cruz pal cielo Ltda.
        439 | 254644-2 | Paula            | Muñoz                 | Cruz pal cielo Ltda.
        981 | 725234-K | Laura            | Muñoz González        | Cruz pal cielo Ltda.
        253 | 129409-1 | Marta            | Muñoz Sepúlveda       | Cruz pal cielo Ltda.
       2627 | 524286-K | María Carmen     | Pérez                 | Cruz pal cielo Ltda.
       2303 | 873680-4 | Carmen           | Rodríguez Martínez    | Cruz pal cielo Ltda.
       1347 | 504372-7 | Sofía Laura      | Rodríguez Rojas       | Cruz pal cielo Ltda.
        667 | 297883-0 | Isabel José      | Rojas                 | Cruz pal cielo Ltda.
        604 | 501736-K | José             | Rojas                 | Cruz pal cielo Ltda.
       2156 | 298616-7 | María Antonio    | Rojas Rojas           | Cruz pal cielo Ltda.
        757 | 332372-2 | Laura            | Silva Contreras       | Cruz pal cielo Ltda.
       2499 | 115752-3 | Antonio Paula    | Silva Sepúlveda       | Cruz pal cielo Ltda.
        799 | 867221-0 | Andrés           | Soto                  | Cruz pal cielo Ltda.
        425 | 816146-1 | Laura Pedro      | Torres Fuentes        | Cruz pal cielo Ltda.
       2986 | 999234-0 | Laura            | Torres Morales        | Cruz pal cielo Ltda.
        740 | 355893-2 | Miguel           | Valenzuela Rodríguez  | Cruz pal cielo Ltda.
        982 | 504437-5 | Isabel Luis      | Contreras             | especial S.A.
       1204 | 328052-7 | Diego            | Contreras Torres      | especial S.A.
        930 | 546502-8 | Antonio          | Díaz Muñoz            | especial S.A.
        755 | 842141-2 | Francisco        | Díaz Sepúlveda        | especial S.A.
       1329 | 296324-8 | Antonio          | Espinoza González     | especial S.A.
        422 | 941989-6 | Ana Francisco    | Flores Rojas          | especial S.A.
       2597 | 390520-9 | Laura            | Fuentes               | especial S.A.
        888 | 127112-1 | Andrés           | Fuentes Sepúlveda     | especial S.A.
        396 | 628371-3 | Juan Juan        | Fuentes Silva         | especial S.A.
       2641 | 973672-7 | Diego            | Fuentes Soto          | especial S.A.
       1337 | 897255-9 | Andrés           | Fuentes Valenzuela    | especial S.A.
       1703 | 539858-4 | Javier           | González              | especial S.A.
       2547 | 872807-0 | Juan             | González Díaz         | especial S.A.
       1635 | 302486-5 | Juan             | González Muñoz        | especial S.A.
        340 | 506750-2 | Marta Ana        | Hernández Valenzuela  | especial S.A.
       1943 | 591364-0 | Juan             | López                 | especial S.A.
       2311 | 421352-1 | Sofía Javier     | Martínez Pérez        | especial S.A.
       1581 | 424702-7 | Daniel           | Morales Hernández     | especial S.A.
       2511 | 368233-1 | Carmen           | Muñoz                 | especial S.A.
        602 | 572729-4 | Lucía            | Muñoz Sepúlveda       | especial S.A.
       1873 | 889355-1 | Juan             | Pérez Flores          | especial S.A.
         81 | 444102-8 | Luis Isabel      | Sepúlveda             | especial S.A.
