 id_paciente |   RUN    | cantidad_dx 
-------------+----------+-------------
        3000 | 374748-4 |           3
           2 | 855104-9 |           3
           3 | 980908-2 |           3
           5 | 227558-9 |           3
           6 | 357628-0 |           3
           7 | 102145-1 |           3
           9 | 738274-K |           3
          11 | 172222-0 |           3
          12 | 321759-0 |           3
          13 | 947596-6 |           3
          14 | 955378-9 |           3
          15 | 685785-K |           3
          21 | 531066-0 |           3
          24 | 378160-7 |           3
          25 | 797134-6 |           3
          26 | 944667-2 |           3
          27 | 220629-3 |           3
          35 | 205810-3 |           3
          36 | 316117-K |           3
          38 | 405885-2 |           3
          39 | 724464-9 |           3
          40 | 961392-7 |           3
          43 | 771403-3 |           3
          45 | 257933-2 |           3
          46 | 327058-0 |           3
          48 | 508308-7 |           3
          49 | 726334-1 |           3
          52 | 329950-3 |           3
          54 | 861390-7 |           3
          55 | 413840-6 |           3
          59 | 409237-6 |           3
          60 | 603422-5 |           3
          61 | 711859-7 |           3
          62 | 737881-5 |           3
          64 | 961419-2 |           3
          65 | 998374-0 |           3
          66 | 925637-7 |           3
          67 | 179550-3 |           3
          69 | 485622-8 |           3
          73 | 692233-3 |           3
          74 | 952346-4 |           3
          76 | 126333-1 |           3
          80 | 943260-4 |           3
          81 | 444102-8 |           3
          82 | 139801-6 |           3
          83 | 871220-4 |           3
        2908 | 438911-5 |           3
        2912 | 650640-2 |           3
        2913 | 252288-8 |           3
        2916 | 829488-7 |           3
        2917 | 614805-0 |           3
        2918 | 989968-5 |           3
        2919 | 516200-9 |           3
        2920 | 990618-5 |           3
        2921 | 474772-0 |           3
        2922 | 833820-5 |           3
        2923 | 681844-7 |           3
        2924 | 579881-7 |           3
        2925 | 651629-7 |           3
        2926 | 575938-2 |           3
        2928 | 349255-9 |           3
        2929 | 662060-4 |           3
        2930 | 469580-1 |           3
        2931 | 247654-1 |           3
        2932 | 606601-1 |           3
        2933 | 743912-1 |           3
        2934 | 631615-8 |           3
        2939 | 416764-3 |           3
        2940 | 310563-6 |           3
        2941 | 440578-1 |           3
        2942 | 301645-5 |           3
        2943 | 277546-8 |           3
        2949 | 482733-3 |           3
        2950 | 232239-0 |           3
        2951 | 791656-6 |           3
        2954 | 425773-1 |           3
        2955 | 841131-K |           3
        2956 | 675409-0 |           3
        2960 | 369153-5 |           3
        2964 | 567916-8 |           3
        2965 | 943754-1 |           3
        2967 | 174872-6 |           3
        2968 | 843510-3 |           3
        2969 | 422414-0 |           3
        2970 | 271097-8 |           3
        2971 | 791270-6 |           3
        2972 | 924344-5 |           3
        2973 | 887774-2 |           3
        2974 | 440651-6 |           3
        2975 | 781728-2 |           3
        2978 | 370981-7 |           3
        2980 | 173369-9 |           3
        2982 | 843922-2 |           3
        2983 | 610916-0 |           3
        2985 | 244489-5 |           3
        2986 | 999234-0 |           3
        2987 | 473445-9 |           3
        2989 | 623322-8 |           3
        2990 | 830159-K |           3
        2991 | 866572-9 |           3
        2992 | 619830-9 |           3
