ID;RUN;Nombre;Apellidos;Dirección;"Correo Electrónico";Teléfono;tipo;titular;rol;profesión;especialidad;firma;"institucion previsional de salud";
1;370333-9;"Marta Javier";"Silva Rodríguez";"Av. Tobalaba 2192";marta.silva@dominiofake.net;927863715;beneficiario;469164-4;Paciente;;;"sin firma";"Menos vida S.A.";
2;855104-9;Daniel;"Díaz Torres";"Av. Macul 3910";daniel.diaz@dominiofake.net;950221960;beneficiario;277294-9;Paciente;;;"sin firma";"Salud Ltda.";
3;980908-2;Miguel;"Díaz Hernández";"Av. Independencia 5555";miguel.diaz@dominiofake.net;986758225;beneficiario;413462-1;Paciente;;;"sin firma";"Colmena de avispas S.A.";
4;296405-8;Javier;Soto;"Av. Grecia 1856";javier.soto@correoexample.com;987322473;titular;296405-8;"Staff Médico";Tens;;"sin firma";"Menos vida S.A.";
5;227558-9;José;"Rojas López";"Av. Macul 4780";jose.rojas@correoexample.com;982841065;beneficiario;544502-7;Paciente;;;"sin firma";"especial S.A.";
6;357628-0;"Javier Carmen";"Sepúlveda Martínez";"Av. Tobalaba 7536";javier.sepulveda@correoexample.com;921229659;beneficiario;906385-4;Paciente;;;"sin firma";"Menos vida S.A.";
7;102145-1;"José Antonio";"Flores Pérez";"Av. Tobalaba 4726";jose.flores@correoexample.com;989276043;beneficiario;450596-4;Paciente;;;"sin firma";"Fundación e imperio";
8;964027-4;"Pedro Isabel";"González Flores";"Av. Vicuña Mackenna 2435";pedro.gonzalez@dominiofake.net;908120715;titular;964027-4;Administrativo;;;"sin firma";FONASA;
9;738274-K;Isabel;"Flores López";"Av. Independencia 2794";isabel.flores@prueba.org;955467032;titular;738274-K;Paciente;;;"sin firma";"Salud Ltda.";
10;502066-2;Andrés;"Espinoza Rojas";"Av. Manuel Montt 7383";andres.espinoza@mailficticio.cl;946072859;beneficiario;740594-4;Paciente;;;"sin firma";"Fundación e imperio";
11;172222-0;Antonio;"Pérez Silva";"Av. Pajaritos 1198";antonio.perez@dominiofake.net;952671687;beneficiario;557142-1;Paciente;;;"sin firma";"especial S.A.";
12;321759-0;José;"López Pérez";"Av. Tobalaba 5853";jose.lopez@prueba.org;993145514;titular;321759-0;Paciente;;;"sin firma";FONASA;
13;947596-6;Diego;López;"Av. Recoleta 4926";diego.lopez@mailficticio.cl;912079685;beneficiario;418243-K;Paciente;;;"sin firma";"sinsalud S.A.";
14;955378-9;Luis;"González González";"Av. La Florida 4818";luis.gonzalez@mailficticio.cl;962909349;titular;955378-9;Paciente;;;"sin firma";"Vida uno S.A.";
15;685785-K;Lucía;"Torres Sepúlveda";"Av. La Florida 3917";lucia.torres@prueba.org;914539560;titular;685785-K;Paciente;;;"sin firma";FONASA;
16;183903-9;"Luis Isabel";Muñoz;"Av. Apoquindo 7639";luis.munoz@prueba.org;996970746;titular;183903-9;"Staff Médico";Enfermero/a;;"sin firma";"Cruz pal cielo Ltda.";
17;500967-7;Laura;Silva;"Av. Apoquindo 8439";laura.silva@mailficticio.cl;907622839;beneficiario;741818-3;Paciente;;;"sin firma";"Vida uno S.A.";
18;911237-5;"Carmen Diego";"Contreras Torres";"Av. Providencia 5293";carmen.contreras@mailficticio.cl;916835946;beneficiario;936343-2;Paciente;;;"sin firma";"Colmena de avispas S.A.";
19;991147-2;"Carmen Pedro";"Pérez Hernández";"Av. Macul 6933";carmen.perez@prueba.org;922834053;beneficiario;789375-2;Paciente;;;"sin firma";"Cruz de Malta S.A.";
20;334010-4;María;González;"Av. Irarrazabal 11893";maria.gonzalez@mailficticio.cl;975031240;titular;334010-4;Administrativo;;;"sin firma";"Salud Ltda.";
21;531066-0;"Antonio Luis";"Valenzuela López";"Av. Tobalaba 10479";antonio.valenzuela@dominiofake.net;959846598;titular;531066-0;Paciente;;;"sin firma";"Vida uno S.A.";
22;846358-1;Marta;"González Sepúlveda";"Av. Vicuña Mackenna 4291";marta.gonzalez@correoexample.com;985806073;beneficiario;834761-1;Paciente;;;"sin firma";"Menos vida S.A.";
23;942600-0;Diego;Espinoza;"Av. Vicuña Mackenna 7393";diego.espinoza@dominiofake.net;963757640;beneficiario;858495-8;Paciente;;;"sin firma";"Colmena de avispas S.A.";
24;378160-7;Laura;"Torres Díaz";"Av. Manuel Montt 4482";laura.torres@dominiofake.net;951513305;beneficiario;438911-5;Paciente;;;"sin firma";"Fundación e imperio";
25;797134-6;Diego;"González Rojas";"Av. Providencia 372";diego.gonzalez@mailficticio.cl;963392738;titular;797134-6;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
26;944667-2;Laura;Rodríguez;"Av. Matta 9783";laura.rodriguez@correoexample.com;935934393;titular;944667-2;Paciente;;;"sin firma";"Cruz de Malta S.A.";
27;220629-3;Pedro;Fuentes;"Av. Providencia 1975";pedro.fuentes@mailficticio.cl;987102976;titular;220629-3;Paciente;;;"sin firma";"Vida uno S.A.";
28;481513-0;Carmen;Díaz;"Av. Libertador Bernardo O'Higgins 3842";carmen.diaz@correoexample.com;936431065;titular;481513-0;Administrativo;;;"sin firma";"Fundación e imperio";
29;630565-2;"Isabel Juan";"Silva Díaz";"Av. Los Leones 4989";isabel.silva@correoexample.com;977318271;beneficiario;448305-7;Paciente;;;"sin firma";"Salud Ltda.";
30;937514-7;Isabel;Soto;"Av. Matta 6463";isabel.soto@correoexample.com;954529666;beneficiario;335232-3;Paciente;;;"sin firma";"sinsalud S.A.";
31;991695-4;Diego;"Flores Contreras";"Av. Matta 2384";diego.flores@dominiofake.net;973177338;beneficiario;439928-5;Paciente;;;"sin firma";"Cruz de Malta S.A.";
